customer_id,subscription_start,subscription_end,plan_type,plan_price
163,12/8/2022,,Basic,499
164,6/18/2022,,Basic,499
165,10/11/2022,,Standard,799
166,1/11/2023,,Standard,799
167,10/22/2021,,Basic,499
168,1/31/2021,,Standard,799
169,7/10/2022,5/19/2023,Premium,1199
170,7/8/2021,,Standard,799
171,7/4/2023,,Basic,499
172,5/26/2022,,Basic,499
173,12/3/2021,,Standard,799
174,2/24/2023,1/29/2025,Premium,1199
175,10/22/2021,,Basic,499
176,5/19/2021,6/8/2022,Standard,799
177,4/17/2023,,Basic,499
178,8/8/2022,,Basic,499
179,6/2/2021,,Basic,499
180,6/5/2022,,Standard,799
181,11/24/2021,7/21/2022,Basic,499
182,9/25/2021,6/9/2022,Premium,1199
183,12/25/2021,,Premium,1199
184,7/4/2023,,Basic,499
185,12/25/2021,,Basic,499
186,7/2/2022,,Basic,499
187,5/22/2021,,Premium,1199
188,6/26/2022,5/30/2023,Basic,499
189,11/23/2021,,Standard,799
190,9/23/2021,,Premium,1199
191,10/2/2021,,Standard,799
192,6/16/2022,,Basic,499
193,6/25/2022,,Premium,1199
194,3/8/2023,,Standard,799
195,5/8/2022,4/21/2023,Basic,499
196,6/6/2023,,Standard,799
197,10/12/2022,6/28/2024,Standard,799
198,4/30/2022,,Basic,499
199,3/11/2023,12/25/2023,Premium,1199
200,5/30/2021,,Premium,1199
201,1/16/2023,9/7/2023,Standard,799
202,7/2/2023,,Basic,499
203,7/15/2021,,Premium,1199
204,3/29/2021,,Premium,1199
205,6/29/2022,9/27/2023,Standard,799
206,8/30/2022,,Premium,1199
207,12/24/2021,8/12/2023,Basic,499
208,8/9/2023,8/15/2024,Basic,499
209,1/29/2023,,Basic,499
210,11/13/2021,,Standard,799
211,4/5/2021,6/13/2022,Basic,499
212,11/20/2022,,Basic,499
213,1/16/2022,,Basic,499
214,11/4/2022,,Premium,1199
215,5/18/2023,1/3/2024,Premium,1199
216,9/21/2022,9/12/2024,Standard,799
217,4/13/2022,,Standard,799
218,10/10/2022,,Premium,1199
219,7/20/2022,,Premium,1199
220,6/7/2022,,Basic,499
221,6/19/2022,,Basic,499
222,12/7/2022,,Basic,499
223,7/4/2022,11/30/2023,Basic,499
224,5/19/2022,,Standard,799
225,2/9/2022,,Premium,1199
226,12/22/2022,,Standard,799
227,8/4/2022,,Premium,1199
228,3/10/2021,,Basic,499
229,10/25/2022,7/26/2023,Standard,799
230,5/8/2021,6/29/2022,Standard,799
231,3/3/2023,,Premium,1199
232,4/2/2021,,Basic,499
233,8/6/2023,,Standard,799
234,2/15/2023,,Standard,799
235,7/4/2023,,Standard,799
236,11/30/2022,,Basic,499
237,7/24/2022,,Premium,1199
238,1/19/2023,,Standard,799
239,8/20/2021,,Standard,799
240,3/25/2023,12/21/2023,Basic,499
241,5/26/2022,,Basic,499
242,7/1/2021,,Basic,499
243,11/19/2021,,Basic,499
244,9/20/2022,,Standard,799
245,11/13/2022,,Standard,799
246,3/1/2023,10/20/2023,Standard,799
247,1/4/2021,3/27/2022,Basic,499
248,8/31/2022,,Premium,1199
249,3/31/2022,9/27/2022,Basic,499
250,12/18/2022,,Standard,799
251,6/29/2021,,Standard,799
252,6/12/2023,11/23/2024,Standard,799
253,5/9/2022,,Basic,499
254,5/13/2021,5/4/2022,Basic,499
255,1/21/2021,,Standard,799
256,2/2/2023,12/4/2024,Basic,499
257,10/15/2022,,Basic,499
258,11/22/2022,6/18/2023,Standard,799
259,4/11/2023,,Standard,799
260,12/17/2021,,Premium,1199
261,8/28/2023,,Basic,499
262,7/18/2021,5/4/2023,Basic,499
263,3/9/2021,,Standard,799
264,8/8/2023,,Basic,499
265,5/20/2021,,Standard,799
266,8/29/2023,,Basic,499
267,3/29/2023,,Standard,799
268,12/3/2021,,Standard,799
269,8/20/2021,,Premium,1199
270,7/19/2023,,Standard,799
271,5/7/2022,,Basic,499
272,6/19/2021,,Standard,799
273,12/28/2021,,Standard,799
274,9/12/2022,5/11/2023,Basic,499
275,5/7/2023,,Basic,499
276,8/13/2022,5/14/2023,Standard,799
277,4/4/2023,,Basic,499
278,6/28/2021,,Basic,499
279,1/19/2021,8/17/2021,Standard,799
280,9/24/2021,4/2/2023,Basic,499
281,7/22/2023,,Standard,799
282,1/9/2021,,Standard,799
283,2/25/2021,,Standard,799
284,7/4/2022,7/10/2023,Standard,799
285,9/22/2023,,Standard,799
286,12/3/2021,,Basic,499
287,5/1/2023,3/20/2025,Standard,799
288,10/30/2021,,Standard,799
289,1/1/2023,,Basic,499
290,11/12/2021,,Basic,499
291,8/8/2021,8/24/2022,Standard,799
292,7/3/2022,,Standard,799
293,3/18/2021,,Standard,799
294,2/18/2023,,Basic,499
295,6/29/2023,,Standard,799
296,7/26/2021,,Standard,799
297,2/20/2021,7/18/2022,Basic,499
298,4/4/2023,10/30/2023,Standard,799
299,2/5/2023,,Standard,799
300,8/27/2021,6/10/2022,Basic,499
301,11/5/2022,7/11/2024,Basic,499
302,5/28/2023,,Basic,499
303,12/22/2021,,Premium,1199
304,2/15/2023,,Basic,499
305,8/30/2021,7/10/2022,Premium,1199
306,3/6/2023,12/16/2024,Basic,499
307,4/2/2022,,Standard,799
308,9/22/2022,5/7/2023,Standard,799
309,8/24/2023,,Basic,499
310,11/28/2021,,Basic,499
311,6/17/2021,,Standard,799
312,8/29/2022,4/13/2024,Premium,1199
313,3/15/2022,,Basic,499
314,6/3/2022,,Basic,499
315,12/8/2021,,Standard,799
316,8/10/2022,9/15/2023,Basic,499
317,4/29/2021,,Basic,499
318,1/8/2021,,Basic,499
319,8/24/2023,6/16/2025,Premium,1199
320,3/16/2023,,Standard,799
321,3/18/2023,,Basic,499
322,12/6/2022,,Premium,1199
323,6/20/2022,11/26/2023,Basic,499
324,8/19/2022,,Basic,499
325,8/15/2022,3/22/2024,Basic,499
326,12/27/2021,4/30/2023,Basic,499
327,1/27/2022,,Standard,799
328,1/14/2021,,Standard,799
329,5/14/2023,,Basic,499
330,8/15/2022,10/10/2023,Basic,499
331,9/6/2022,,Basic,499
332,5/15/2022,,Basic,499
333,2/28/2021,,Basic,499
334,8/23/2021,,Premium,1199
335,8/15/2021,,Standard,799
336,10/19/2021,12/14/2022,Basic,499
337,6/4/2022,2/13/2024,Basic,499
338,2/13/2023,10/4/2024,Basic,499
339,7/3/2023,,Standard,799
340,4/22/2023,,Standard,799
341,8/29/2022,,Premium,1199
342,12/21/2021,,Standard,799
343,1/26/2023,10/3/2023,Basic,499
344,7/10/2022,,Basic,499
345,5/20/2023,,Basic,499
346,3/22/2021,,Basic,499
347,7/8/2023,,Standard,799
348,1/24/2022,,Basic,499
349,4/18/2022,,Basic,499
350,3/25/2021,,Basic,499
351,2/20/2021,4/6/2022,Basic,499
352,7/21/2022,,Standard,799
353,7/25/2022,,Basic,499
354,3/25/2022,,Standard,799
355,9/19/2023,,Standard,799
356,1/28/2022,,Premium,1199
357,8/24/2023,,Basic,499
358,7/9/2022,,Premium,1199
359,1/18/2021,,Standard,799
360,8/12/2022,,Standard,799
361,3/13/2021,,Premium,1199
362,5/10/2022,,Standard,799
363,11/13/2021,,Basic,499
364,9/8/2021,,Standard,799
365,3/24/2023,,Premium,1199
366,8/20/2022,,Standard,799
367,3/2/2023,,Basic,499
368,6/9/2021,,Standard,799
369,7/9/2021,,Basic,499
370,1/23/2021,,Basic,499
371,7/19/2023,,Basic,499
372,3/6/2021,,Premium,1199
373,7/26/2022,,Premium,1199
374,1/31/2022,,Basic,499
375,2/25/2022,12/11/2022,Premium,1199
376,10/16/2021,,Premium,1199
377,11/15/2022,,Basic,499
378,9/14/2022,5/12/2023,Standard,799
379,7/20/2023,,Premium,1199
380,10/25/2021,,Basic,499
381,3/2/2023,,Standard,799
382,12/22/2022,,Standard,799
383,12/22/2022,1/17/2024,Standard,799
384,1/4/2022,4/23/2023,Standard,799
385,4/12/2023,1/21/2024,Basic,499
386,11/22/2021,,Premium,1199
387,11/13/2022,6/29/2024,Standard,799
388,5/7/2023,,Premium,1199
389,7/27/2021,1/26/2023,Standard,799
390,4/20/2022,11/2/2023,Premium,1199
391,9/7/2023,,Standard,799
392,8/7/2021,7/8/2022,Standard,799
393,6/12/2022,,Standard,799
394,7/17/2021,,Premium,1199
395,5/30/2021,,Premium,1199
396,5/11/2023,11/19/2024,Standard,799
397,9/14/2021,5/19/2023,Basic,499
398,8/7/2023,,Basic,499
399,2/11/2022,1/4/2023,Standard,799
400,4/28/2021,,Basic,499
401,4/5/2021,,Premium,1199
402,5/17/2022,,Standard,799
403,7/20/2021,,Standard,799
404,2/10/2023,,Basic,499
405,4/13/2023,,Basic,499
406,7/5/2021,,Standard,799
407,9/20/2021,,Premium,1199
408,8/30/2022,,Basic,499
409,1/21/2021,6/16/2022,Standard,799
410,7/17/2022,5/4/2024,Standard,799
411,8/17/2023,,Basic,499
412,2/24/2023,,Premium,1199
413,7/20/2021,2/22/2022,Standard,799
414,9/19/2022,6/6/2023,Standard,799
415,6/18/2022,,Premium,1199
416,10/10/2022,,Basic,499
417,12/11/2021,,Standard,799
418,4/15/2021,,Standard,799
419,12/28/2022,10/14/2024,Premium,1199
420,10/21/2022,10/8/2023,Basic,499
421,5/11/2022,5/8/2024,Basic,499
422,6/18/2022,,Premium,1199
423,11/3/2021,,Standard,799
424,7/29/2023,,Standard,799
425,10/10/2022,3/26/2024,Premium,1199
426,2/5/2022,,Premium,1199
427,11/13/2021,,Premium,1199
428,8/20/2023,,Basic,499
429,8/17/2023,5/7/2025,Standard,799
430,3/16/2023,,Standard,799
431,3/22/2023,,Basic,499
432,1/19/2022,3/30/2023,Standard,799
433,3/4/2022,,Standard,799
434,1/19/2022,7/7/2023,Premium,1199
435,1/13/2021,5/20/2022,Standard,799
436,6/10/2022,,Basic,499
437,4/13/2021,12/14/2021,Basic,499
438,5/6/2021,11/10/2021,Standard,799
439,3/16/2022,,Basic,499
440,5/4/2021,4/24/2023,Basic,499
441,7/11/2023,11/21/2024,Basic,499
442,6/12/2022,,Standard,799
443,7/18/2021,12/26/2022,Basic,499
444,4/7/2022,,Basic,499
445,9/27/2023,,Premium,1199
446,7/2/2023,,Basic,499
447,5/4/2021,,Basic,499
448,3/14/2022,,Standard,799
449,5/18/2023,2/1/2025,Basic,499
450,5/10/2023,1/3/2025,Premium,1199
451,2/20/2023,1/10/2025,Standard,799
452,9/10/2023,,Premium,1199
453,10/19/2021,,Basic,499
454,2/11/2022,,Standard,799
455,5/19/2021,7/19/2022,Premium,1199
456,8/16/2021,8/6/2022,Basic,499
457,3/4/2023,11/14/2024,Standard,799
458,12/20/2021,11/11/2022,Standard,799
459,5/30/2022,,Standard,799
460,10/26/2021,7/22/2023,Standard,799
461,12/4/2021,,Premium,1199
462,1/2/2022,,Premium,1199
463,3/23/2022,,Premium,1199
464,1/8/2021,9/16/2022,Basic,499
465,8/23/2021,,Standard,799
466,9/25/2022,6/2/2023,Premium,1199
467,1/29/2022,,Basic,499
468,1/6/2021,,Basic,499
469,5/30/2021,3/4/2023,Premium,1199
470,12/30/2022,,Basic,499
471,3/12/2021,,Basic,499
472,8/26/2023,,Basic,499
473,2/28/2021,,Standard,799
474,8/22/2021,,Basic,499
475,12/1/2022,4/15/2024,Basic,499
476,9/5/2022,,Standard,799
477,5/10/2023,,Basic,499
478,10/10/2022,4/13/2023,Basic,499
479,2/12/2022,7/3/2023,Premium,1199
480,1/6/2022,9/5/2022,Basic,499
481,12/12/2021,9/17/2023,Basic,499
482,12/7/2022,,Basic,499
483,7/11/2023,1/26/2025,Standard,799
484,9/1/2023,,Standard,799
485,5/22/2022,3/8/2023,Basic,499
486,6/28/2022,,Basic,499
487,7/10/2023,4/17/2025,Basic,499
488,1/2/2023,,Basic,499
489,3/27/2021,,Basic,499
490,1/25/2022,,Standard,799
491,11/10/2022,,Premium,1199
492,4/21/2022,,Standard,799
493,5/18/2021,,Standard,799
494,7/15/2023,,Basic,499
495,2/22/2023,,Standard,799
496,4/23/2023,,Basic,499
497,1/21/2022,5/29/2023,Standard,799
498,3/5/2022,8/27/2023,Standard,799
499,3/20/2023,10/22/2024,Standard,799
500,5/27/2023,,Basic,499
501,1/15/2023,,Premium,1199
502,5/9/2022,,Premium,1199
503,7/16/2021,,Standard,799
504,5/6/2021,10/11/2022,Standard,799
505,8/8/2022,5/24/2023,Premium,1199
506,3/28/2023,,Standard,799
507,3/26/2022,,Basic,499
508,2/11/2021,,Premium,1199
509,4/6/2022,9/23/2023,Basic,499
510,2/22/2023,6/12/2024,Premium,1199
511,12/12/2021,,Standard,799
512,5/9/2022,,Premium,1199
513,8/30/2021,,Basic,499
514,4/26/2023,,Basic,499
515,4/3/2021,,Standard,799
516,3/5/2021,12/18/2021,Standard,799
517,2/15/2023,2/8/2024,Basic,499
518,6/29/2023,,Premium,1199
519,3/22/2022,10/13/2023,Premium,1199
520,9/15/2022,,Basic,499
521,11/21/2021,12/6/2022,Standard,799
522,10/3/2021,,Standard,799
523,10/9/2022,,Basic,499
524,1/16/2023,6/13/2024,Basic,499
525,4/16/2023,2/26/2024,Basic,499
526,7/18/2023,,Standard,799
527,6/21/2021,8/19/2022,Standard,799
528,5/2/2022,3/21/2024,Basic,499
529,3/27/2021,,Basic,499
530,9/10/2022,,Basic,499
531,1/13/2023,10/23/2023,Standard,799
532,1/8/2023,,Standard,799
533,3/9/2023,2/24/2024,Standard,799
534,8/13/2023,5/9/2025,Standard,799
535,6/24/2022,6/6/2024,Premium,1199
536,1/1/2021,,Basic,499
537,6/30/2022,12/27/2022,Premium,1199
538,5/16/2023,,Standard,799
539,2/13/2023,,Standard,799
540,4/16/2022,8/28/2023,Basic,499
541,9/20/2022,2/27/2024,Standard,799
542,9/17/2021,,Premium,1199
543,8/27/2021,,Basic,499
544,8/17/2023,,Basic,499
545,8/29/2023,,Standard,799
546,9/12/2023,,Premium,1199
547,12/8/2022,,Standard,799
548,10/5/2022,,Basic,499
549,7/4/2023,,Basic,499
550,2/1/2021,11/17/2022,Standard,799
551,4/22/2021,,Premium,1199
552,11/8/2022,9/2/2023,Basic,499
553,6/13/2022,,Standard,799
554,2/22/2022,11/21/2023,Premium,1199
555,7/24/2023,2/8/2024,Standard,799
556,1/4/2021,,Standard,799
557,7/31/2023,3/5/2025,Basic,499
558,7/9/2021,,Standard,799
559,1/27/2022,,Basic,499
560,2/6/2021,,Basic,499
561,10/14/2021,,Standard,799
562,7/20/2021,,Basic,499
563,8/16/2021,,Standard,799
564,2/22/2023,10/7/2023,Basic,499
565,5/28/2023,,Standard,799
566,6/12/2022,8/23/2023,Standard,799
567,4/12/2022,4/29/2023,Standard,799
568,9/16/2022,,Standard,799
569,7/17/2021,,Basic,499
570,6/15/2022,,Basic,499
571,8/4/2022,,Standard,799
572,8/28/2023,,Standard,799
573,10/1/2022,,Standard,799
574,4/26/2023,10/6/2024,Basic,499
575,7/29/2022,3/29/2023,Standard,799
576,12/21/2022,,Basic,499
577,2/3/2021,,Standard,799
578,4/23/2023,3/18/2024,Premium,1199
579,6/5/2021,,Standard,799
580,8/9/2022,4/23/2024,Basic,499
581,1/15/2023,,Standard,799
582,6/9/2021,,Premium,1199
583,7/6/2023,,Standard,799
584,9/2/2022,2/6/2024,Standard,799
585,6/14/2023,,Basic,499
586,4/10/2021,,Basic,499
587,10/17/2022,,Basic,499
588,1/25/2023,,Premium,1199
589,1/3/2023,,Standard,799
590,4/23/2023,,Basic,499
591,5/17/2022,,Standard,799
592,6/11/2022,1/30/2023,Premium,1199
593,11/19/2021,,Basic,499
594,9/16/2022,,Standard,799
595,5/7/2022,8/23/2023,Basic,499
596,8/30/2023,,Premium,1199
597,9/4/2023,,Standard,799
598,6/29/2023,9/23/2024,Standard,799
599,8/28/2021,,Basic,499
600,12/6/2021,,Standard,799
601,9/24/2023,,Standard,799
602,10/31/2021,11/25/2022,Basic,499
603,5/17/2021,,Basic,499
604,8/11/2022,,Standard,799
605,3/10/2023,,Basic,499
606,5/7/2021,11/8/2021,Standard,799
607,2/17/2022,8/18/2023,Basic,499
608,8/31/2021,,Standard,799
609,6/12/2023,,Premium,1199
610,1/7/2021,8/23/2021,Premium,1199
611,4/11/2022,1/10/2024,Basic,499
612,9/29/2021,,Standard,799
613,10/9/2021,,Premium,1199
614,4/5/2022,2/3/2024,Basic,499
615,9/12/2023,,Basic,499
616,1/21/2023,,Basic,499
617,9/10/2021,6/13/2022,Standard,799
618,1/15/2021,,Basic,499
619,2/11/2023,3/24/2024,Basic,499
620,7/7/2023,,Standard,799
621,5/5/2022,3/15/2024,Premium,1199
622,3/7/2022,,Basic,499
623,7/19/2021,,Premium,1199
624,4/6/2021,,Basic,499
625,1/19/2023,,Standard,799
626,11/12/2021,9/29/2022,Standard,799
627,1/6/2023,,Standard,799
628,2/1/2023,,Standard,799
629,4/7/2022,,Premium,1199
630,2/25/2021,2/8/2022,Basic,499
631,9/5/2022,,Basic,499
632,6/28/2021,,Standard,799
633,8/5/2021,,Standard,799
634,8/1/2022,,Standard,799
635,4/26/2021,,Standard,799
636,7/31/2023,,Premium,1199
637,8/27/2023,,Basic,499
638,2/3/2021,,Premium,1199
639,11/19/2022,7/28/2023,Basic,499
640,8/4/2022,,Premium,1199
641,1/13/2021,,Basic,499
642,5/30/2022,,Premium,1199
643,7/7/2022,4/7/2023,Basic,499
644,12/28/2021,8/26/2022,Basic,499
645,3/31/2022,,Premium,1199
646,3/25/2023,1/25/2025,Premium,1199
647,10/14/2022,,Basic,499
648,2/23/2023,,Basic,499
649,5/27/2022,,Standard,799
650,9/26/2022,,Basic,499
651,10/26/2022,7/14/2023,Standard,799
652,2/6/2022,7/24/2023,Premium,1199
653,4/15/2021,,Basic,499
654,12/31/2021,1/14/2023,Standard,799
655,2/16/2023,,Standard,799
656,2/19/2023,,Premium,1199
657,4/1/2022,10/15/2022,Standard,799
658,5/29/2021,,Standard,799
659,11/20/2021,,Standard,799
660,2/1/2023,,Standard,799
661,10/13/2022,1/23/2024,Basic,499
662,7/26/2021,2/5/2022,Basic,499
663,7/30/2022,,Basic,499
664,7/4/2023,,Premium,1199
665,3/7/2023,,Basic,499
666,8/28/2021,,Standard,799
667,1/22/2021,,Basic,499
668,8/15/2021,1/28/2023,Basic,499
669,1/15/2023,,Standard,799
670,3/18/2022,,Basic,499
671,3/2/2022,,Basic,499
672,9/30/2022,4/13/2024,Standard,799
673,12/4/2021,,Standard,799
674,1/25/2023,,Basic,499
675,7/10/2021,,Standard,799
676,12/14/2022,7/10/2024,Premium,1199
677,12/21/2021,,Standard,799
678,7/10/2021,,Basic,499
679,1/15/2023,,Standard,799
680,2/14/2023,,Standard,799
681,7/1/2023,,Standard,799
682,5/29/2022,3/16/2023,Standard,799
683,7/11/2023,,Basic,499
684,3/10/2022,,Premium,1199
685,9/28/2021,5/28/2023,Standard,799
686,8/23/2023,3/20/2024,Standard,799
687,9/19/2022,,Standard,799
688,11/22/2022,,Standard,799
689,5/18/2023,,Standard,799
690,7/31/2022,,Standard,799
691,3/1/2022,2/28/2024,Basic,499
692,4/3/2021,,Standard,799
693,3/3/2022,2/27/2023,Premium,1199
694,11/9/2022,,Standard,799
695,10/23/2021,,Standard,799
696,1/27/2023,,Basic,499
697,2/15/2021,,Standard,799
698,8/5/2022,,Basic,499
699,3/9/2021,,Basic,499
700,2/22/2022,,Standard,799
701,6/18/2021,,Standard,799
702,3/7/2022,,Standard,799
703,4/21/2021,5/29/2022,Standard,799
704,7/4/2023,,Standard,799
705,6/14/2022,,Basic,499
706,11/1/2022,,Standard,799
707,10/28/2021,,Premium,1199
708,7/28/2023,,Basic,499
709,4/7/2023,,Standard,799
710,6/19/2021,,Premium,1199
711,9/28/2022,,Standard,799
712,12/13/2021,,Premium,1199
713,7/22/2023,,Standard,799
714,10/20/2021,,Premium,1199
715,4/3/2022,,Basic,499
716,5/23/2021,,Premium,1199
717,6/18/2022,,Standard,799
718,4/6/2022,,Basic,499
719,3/14/2023,,Basic,499
720,10/23/2021,,Basic,499
721,2/21/2021,,Basic,499
722,5/13/2022,,Basic,499
723,5/15/2021,,Basic,499
724,6/16/2022,,Standard,799
725,5/21/2023,,Standard,799
726,7/12/2023,4/3/2025,Basic,499
727,1/30/2021,7/23/2022,Standard,799
728,1/25/2023,,Basic,499
729,7/2/2021,,Basic,499
730,8/18/2022,,Basic,499
731,5/8/2023,,Premium,1199
732,10/22/2021,,Premium,1199
733,1/17/2022,10/20/2023,Premium,1199
734,3/27/2022,,Standard,799
735,1/7/2023,,Premium,1199
736,2/14/2023,,Premium,1199
737,1/17/2021,5/17/2022,Premium,1199
738,1/8/2021,,Standard,799
739,11/10/2022,,Basic,499
740,8/14/2021,,Standard,799
741,4/21/2022,2/21/2023,Standard,799
742,11/13/2021,,Premium,1199
743,3/24/2023,,Standard,799
744,8/14/2023,12/14/2024,Standard,799
745,7/20/2023,5/9/2024,Standard,799
746,3/23/2023,,Basic,499
747,6/21/2023,,Basic,499
748,5/25/2021,9/20/2022,Basic,499
749,7/25/2022,5/17/2024,Basic,499
750,4/4/2023,,Standard,799
751,9/27/2023,2/25/2025,Standard,799
752,5/12/2021,,Premium,1199
753,1/10/2023,,Basic,499
754,5/12/2021,,Standard,799
755,8/15/2023,,Standard,799
756,4/21/2022,,Basic,499
757,11/18/2021,,Premium,1199
758,9/26/2022,,Standard,799
759,1/1/2023,,Basic,499
760,9/11/2021,,Standard,799
761,1/16/2023,7/8/2024,Standard,799
762,4/25/2021,1/4/2022,Basic,499
763,7/25/2022,,Basic,499
764,12/11/2021,,Standard,799
765,8/28/2023,6/14/2024,Standard,799
766,11/7/2022,,Basic,499
767,10/7/2021,3/6/2023,Premium,1199
768,7/26/2022,1/2/2024,Standard,799
769,4/17/2021,,Standard,799
770,5/28/2021,,Premium,1199
771,5/27/2022,11/25/2023,Standard,799
